id,block,dropped_hat,box,correct,rep,contrast
R01,region,F1,F3,Nogo,1,endpoint_hurt
R02,region,F3,F1,Nogo,1,endpoint_hurt
R03,region,F4,F6,Nogo,1,endpoint_control
R04,region,F6,F4,Nogo,1,endpoint_control
R05,region,F1,F2,Nogo,1,cousin_as_neighbour_hurt
R06,region,F2,F1,Nogo,1,cousin_as_neighbour_hurt
R07,region,F4,F5,Nogo,1,cousin_as_neighbour_control
R08,region,F5,F4,Nogo,1,cousin_as_neighbour_control
R09,region,F2,F3,Go,1,neighbour_spoke
R10,region,F2,F3,Go,2,neighbour_spoke
R11,region,F3,F2,Go,1,neighbour_spoke
R12,region,F3,F2,Go,2,neighbour_spoke
R13,region,F5,F6,Go,1,neighbour_spoke_control
R14,region,F5,F6,Go,2,neighbour_spoke_control
R15,region,F6,F5,Go,1,neighbour_spoke_control
R16,region,F6,F5,Go,2,neighbour_spoke_control
H01,head,F1,F2,Go,1,cousin_spoke
H02,head,F1,F2,Go,2,cousin_spoke
H03,head,F2,F1,Go,1,cousin_spoke
H04,head,F2,F1,Go,2,cousin_spoke
H05,head,F4,F5,Go,1,cousin_spoke_control
H06,head,F4,F5,Go,2,cousin_spoke_control
H07,head,F5,F4,Go,1,cousin_spoke_control
H08,head,F5,F4,Go,2,cousin_spoke_control
H09,head,F1,F3,Nogo,1,endpoint_hurt
H10,head,F3,F1,Nogo,1,endpoint_hurt
H11,head,F4,F6,Nogo,1,endpoint_control
H12,head,F6,F4,Nogo,1,endpoint_control
H13,head,F2,F3,Nogo,1,neighbour_as_cousin_hurt
H14,head,F3,F2,Nogo,1,neighbour_as_cousin_hurt
H15,head,F5,F6,Nogo,1,neighbour_as_cousin_control
H16,head,F6,F5,Nogo,1,neighbour_as_cousin_control
